,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
194,Lesão corporal seguida de morte,Distrito Federal,2014,3.0,53,DF,2852370,Desligado,39366,0.10517569600016828,1380.1154829142083
195,Homicídio doloso,Distrito Federal,2010,654.0,53,DF,2602070,Desligado,36768,25.13383575384213,1413.028857793987
196,Homicídio doloso,Distrito Federal,2011,704.0,53,DF,2664440,Desligado,39550,26.422062422122476,1484.3644443109997
197,Homicídio doloso,Distrito Federal,2012,787.0,53,DF,2727100,Desligado,38568,28.858494371310183,1414.2495691393788
198,Homicídio doloso,Distrito Federal,2013,692.0,53,DF,2789760,Desligado,45596,24.805001147052074,1634.405827024547
199,Homicídio doloso,Distrito Federal,2014,682.0,53,DF,2852370,Desligado,39366,23.90994155737159,1380.1154829142083
200,Furto de veículo,Distrito Federal,2010,6438.0,53,DF,2602070,Desligado,36768,247.41840150341844,1413.028857793987
201,Furto de veículo,Distrito Federal,2011,6230.0,53,DF,2664440,Desligado,39550,233.82023990031675,1484.3644443109997
202,Furto de veículo,Distrito Federal,2012,6131.0,53,DF,2727100,Desligado,38568,224.81757177954606,1414.2495691393788
203,Furto de veículo,Distrito Federal,2013,6473.0,53,DF,2789760,Desligado,45596,232.02712778160128,1634.405827024547
204,Furto de veículo,Distrito Federal,2014,8344.0,53,DF,2852370,Desligado,39366,292.52866914180134,1380.1154829142083
205,Estupro,Distrito Federal,2010,604.0,53,DF,2602070,Desligado,36768,23.212288677860318,1413.028857793987
206,Estupro,Distrito Federal,2011,735.0,53,DF,2664440,Desligado,39550,27.585533920823888,1484.3644443109997
207,Estupro,Distrito Federal,2012,864.0,53,DF,2727100,Desligado,38568,31.68200652708005,1414.2495691393788
208,Estupro,Distrito Federal,2013,851.0,53,DF,2789760,Desligado,45596,30.504416150493235,1634.405827024547
209,Estupro,Distrito Federal,2014,775.0,53,DF,2852370,Desligado,39366,27.170388133376804,1380.1154829142083
210,Roubo seguido de morte (latrocínio),Espírito Santo,2010,16.0,32,ES,3697240,Desligado,14686,0.4327552444526187,397.2152200019474
211,Roubo seguido de morte (latrocínio),Espírito Santo,2011,24.0,32,ES,3745580,Desligado,12668,0.6407552368391544,338.2119725116004
212,Roubo seguido de morte (latrocínio),Espírito Santo,2012,10.0,32,ES,3792870,Desligado,13282,0.263652590254873,350.18337037652225
213,Roubo seguido de morte (latrocínio),Espírito Santo,2013,33.0,32,ES,3839370,Desligado,14612,0.8595160143461036,380.58327277652324
214,Roubo seguido de morte (latrocínio),Espírito Santo,2014,50.0,32,ES,3885050,Desligado,12817,1.286984723491332,329.9056640197681
215,Roubo de veículo,Espírito Santo,2010,2009.0,32,ES,3697240,Desligado,14686,54.33783038158194,397.2152200019474
216,Roubo de veículo,Espírito Santo,2011,3516.0,32,ES,3745580,Desligado,12668,93.87064219693612,338.2119725116004
