,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
609,Crime contra o patrimônio,Rondônia,2014,1225.0,11,RO,1748530,Desligado,7776,70.05884943352416,444.7164189347624
614,Crime contra a vida,Rondônia,2014,7.0,11,RO,1748530,Desligado,7776,0.4003362824772809,444.7164189347624
619,Crime contra a vida,Rondônia,2014,525.0,11,RO,1748530,Desligado,7776,30.025221185796067,444.7164189347624
624,Crime contra o patrimônio,Rondônia,2014,2989.0,11,RO,1748530,Desligado,7776,170.94359261779897,444.7164189347624
629,Crime contra a vida,Rondônia,2014,711.0,11,RO,1748530,Desligado,7776,40.66272812019239,444.7164189347624
634,Crime contra a vida,Roraima,2014,2.0,14,RR,496936,Desligado,4476,0.40246631356955426,900.7196097686623
639,Crime contra o patrimônio,Roraima,2014,231.0,14,RR,496936,Desligado,4476,46.484859217283514,900.7196097686623
644,Crime contra a vida,Roraima,2014,,14,RR,496936,Desligado,4476,,900.7196097686623
649,Crime contra a vida,Roraima,2014,65.0,14,RR,496936,Desligado,4476,13.080155191010512,900.7196097686623
654,Crime contra o patrimônio,Roraima,2014,518.0,14,RR,496936,Desligado,4476,104.23877521451455,900.7196097686623
659,Crime contra a vida,Roraima,2014,273.0,14,RR,496936,Desligado,4476,54.93665180224415,900.7196097686623
664,Crime contra a vida,Rio Grande do Sul,2014,121.0,43,RS,11207300,Desligado,38953,1.0796534401684617,347.5681029329098
669,Crime contra o patrimônio,Rio Grande do Sul,2014,13622.0,43,RS,11207300,Desligado,38953,121.5457781981387,347.5681029329098
674,Crime contra a vida,Rio Grande do Sul,2014,51.0,43,RS,11207300,Desligado,38953,0.45506054089745074,347.5681029329098
679,Crime contra a vida,Rio Grande do Sul,2014,2226.0,43,RS,11207300,Desligado,38953,19.862054196818146,347.5681029329098
684,Crime contra o patrimônio,Rio Grande do Sul,2014,18585.0,43,RS,11207300,Desligado,38953,165.8294147564534,347.5681029329098
689,Crime contra a vida,Rio Grande do Sul,2014,3162.0,43,RS,11207300,Desligado,38953,28.213753535641946,347.5681029329098
694,Crime contra a vida,Santa Catarina,2014,35.0,42,SC,6727150,Desligado,28784,0.5202797618605204,427.878076154092
699,Crime contra o patrimônio,Santa Catarina,2014,2864.0,42,SC,6727150,Desligado,28784,42.57374965624373,427.878076154092
704,Crime contra a vida,Santa Catarina,2014,44.0,42,SC,6727150,Desligado,28784,0.65406598633894,427.878076154092
709,Crime contra a vida,Santa Catarina,2014,592.0,42,SC,6727150,Desligado,28784,8.800160543469374,427.878076154092
714,Crime contra o patrimônio,Santa Catarina,2014,13165.0,42,SC,6727150,Desligado,28784,195.69951613982147,427.878076154092
